recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
1,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=1,00 08 28.66,00 15 43.22,-42 44 04.6,-41 15 28.8,16.19,17.49,18.34,50,37,0.31,1989-03-10,163,SSA007-600; 0000-42E,00 10 59.82,-42 27 23.0
2,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=2,00 01 25.73,00 08 28.66,-42 44 04.6,-41 15 28.8,16.19,17.49,18.34,50,40,0.35,1989-02-10,149,SSA010-200; 0000-42W,00 03 58.77,-42 27 22.2
3,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=3,00 33 03.82,00 41 21.14,-42 44 13.9,-41 14 42.7,14.93,17.63,18.78,112,81,0.88,1993-03-10,192,SSA064-200; 0015-42E,00 35 28.43,-42 27 42.6
4,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=4,00 23 41.14,00 33 03.82,-42 44 13.9,-41 14 42.7,14.93,17.63,18.78,112,107,0.85,1994-02-10,178,SSA063-200; 0015-42M,00 26 08.24,-42 27 37.3
5,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=5,00 15 43.22,00 23 41.14,-42 44 13.9,-41 14 42.7,14.93,17.63,18.78,112,105,0.56,1994-01-10,164,SSA062-200; 0015-42W,00 18 12.44,-42 27 34.1
6,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=6,00 28 14.21,00 35 10.54,-39 44 32.6,-38 28 18.5,16.12,17.42,18.27,50,39,0.35,1990-05-09,108,SSA007-300; 0020-39E,00 30 40.89,-39 27 58.4
7,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=7,00 21 12.12,00 28 14.21,-39 44 32.6,-38 28 18.5,16.12,17.42,18.27,50,36,0.46,1990-05-09,105,SSA007-200; 0020-39W,00 23 40.48,-39 27 54.9
8,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=8,00 29 09.60,00 37 12.00,-45 44 24.0,-44 15 36.0,16.21,17.51,18.36,50,38,0.83,1991-02-10,154,SSA016-200; 0020-45E,00 31 34.35,-45 27 50.3
9,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=9,00 22 36.00,00 29 09.60,-45 44 24.0,-44 15 36.0,16.21,17.51,18.36,50,36,0.92,1990-12-10,129,SSA014-600; 0020-45W,00 25 02.68,-45 27 46.9
10,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=10,00 52 42.79,01 01 13.30,-39 44 48.5,-38 15 53.3,15.03,17.73,18.88,112,93,0.83,1991-09-10,188,SSA031-200; 0034-39E,00 55 03.67,-39 28 33.6
11,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=11,00 43 51.72,00 52 42.79,-39 44 48.5,-38 15 53.3,15.03,17.73,18.88,112,97,0.86,1991-08-10,174,SSA030-200; 0034-39M,00 46 14.68,-39 28 25.3
12,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=12,00 35 10.54,00 43 51.72,-39 44 48.5,-38 15 53.3,15.03,17.73,18.88,112,107,0.74,1991-07-10,163,SSA029-200; 0034-39W,00 37 35.56,-39 28 18.6
13,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=13,00 53 26.40,01 00 52.80,-45 44 24.0,-44 15 00.0,14.84,17.54,18.84,112,68,0.85,1994-04-10,145,SSA077-300; 0035-45E,00 55 44.06,-45 28 09.8
14,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=14,00 45 04.80,00 53 26.40,-45 44 24.0,-44 15 00.0,14.84,17.54,18.84,112,74,0.71,1994-03-10,134,SSA076-300; 0035-45M,00 47 24.88,-45 28 01.8
15,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=15,00 37 12.00,00 45 04.80,-45 44 24.0,-44 15 00.0,14.84,17.54,18.84,112,81,0.66,1994-02-10,121,SSA075-300; 0035-45W,00 39 34.38,-45 27 55.5
16,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=16,00 48 29.50,00 55 46.30,-42 44 00.2,-41 15 06.8,16.22,17.52,18.37,50,49,0.72,1991-01-10,140,SSA015-500; 0040-42E,00 50 50.05,-42 27 41.1
17,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=17,00 41 21.14,00 48 29.50,-42 44 00.2,-41 15 06.8,16.22,17.52,18.37,50,47,0.64,1990-11-10,118,SSA015-200; 0040-42W,00 43 43.56,-42 27 34.9
18,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=18,01 12 58.32,01 21 29.71,-42 44 03.1,-41 27 16.2,15.01,17.81,18.91,112,91,0.9,1993-11-09,142,SSA044-300; 0054-42E,01 15 12.56,-42 28 12.5
19,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=19,01 04 26.52,01 12 58.32,-42 44 03.1,-41 27 16.2,15.01,17.81,18.91,112,103,0.87,1993-10-09,128,SSA043-300; 0054-42M,01 06 42.93,-42 28 01.3
20,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=20,00 55 46.30,01 04 26.52,-42 44 03.1,-41 27 16.2,15.01,17.81,18.91,112,99,0.93,1992-08-09,104,SSA042-300; 0054-42W,00 58 04.95,-42 27 51.4
